trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.9968050826448412, 'e': 0.20189651799465538}",20,7,-3.47714053738125,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.9967851465431884, 'e': 0.1998876140751445}",25,0,18.415449661109484,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.9967652108402575, 'e': 0.19789869908361465}",20,0,28.891894938554337,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.9967452755360406, 'e': 0.19592957412690934}",20,11,-39.20541744222266,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.9967253406305299, 'e': 0.19398004229089189}",25,0,-19.31132656334296,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.9967054061237173, 'e': 0.19204990862075408}",30,7,21.026568326584044,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.9966854720155948, 'e': 0.1901389801015205}",25,15,20.976633413937098,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9966655383061545, 'e': 0.1882470656387468}",20,3,2.8092626094479574,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.9966456049953883, 'e': 0.18637397603940997}",25,14,4.41799348037115,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.9966256720832883, 'e': 0.18451952399298926}",25,4,29.368818442199828,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9966057395698467, 'e': 0.18268352405273466}",20,10,8.194334394007138,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.9965858074550553, 'e': 0.1808657926171221}",30,3,-81.26335607975282,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 2}",1
172,False,"{'a': 0.9965658757389062, 'e': 0.17906614791149322}",20,6,14.667595792234259,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9965459444213913, 'e': 0.17728440996987782}",25,16,9.642143664541356,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9965260135025029, 'e': 0.17552040061699686}",25,11,1.1180284752573533,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.9965060829822329, 'e': 0.17377394345044514}",35,9,-75.51602841663991,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 2}",1
176,False,"{'a': 0.9964861528605732, 'e': 0.17204486382305054}",20,12,-28.305976972847024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.996466223137516, 'e': 0.17033298882540943}",20,0,-6.630480632446303,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
178,False,"{'a': 0.9964462938130532, 'e': 0.1686381472685955}",30,17,21.572350111030673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.996426364887177, 'e': 0.1669601696670407}",25,11,13.078908556130704,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
