trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.9988806157782977, 'e': 0.5712090638488149}",25,0,-47.01017523080284,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.998860638165982, 'e': 0.5655254386995371}",25,5,-74.19381947437341,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",1
58,False,"{'a': 0.9988406609532187, 'e': 0.559898366565402}",25,0,-106.23184172011692,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.9988206841399996, 'e': 0.5543272847345071}",20,3,-45.573703688980366,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.9988007077263168, 'e': 0.5488116360940265}",20,5,-64.5288574853315,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.9987807317121623, 'e': 0.5433508690744998}",20,12,-78.99540141166145,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
62,False,"{'a': 0.998760756097528, 'e': 0.5379444375946745}",20,0,-14.767027748879608,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.998740780882406, 'e': 0.5325918010068972}",25,0,-87.89535150843594,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.9987208060667884, 'e': 0.5272924240430485}",20,7,-26.903314517144608,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.998700831650667, 'e': 0.522045776761016}",25,0,-61.27872661304815,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.9986808576340339, 'e': 0.5168513344916992}",20,2,-5.018692596839869,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.9986608840168812, 'e': 0.5117085777865424}",30,15,-43.77256127931537,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.9986409107992009, 'e': 0.5066169923655895}",20,2,-6.395070432886701,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.998620937980985, 'e': 0.5015760690660555}",20,9,-17.165000923097686,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.9986009655622252, 'e': 0.49658530379140947}",20,0,-39.02142874402733,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.998580993542914, 'e': 0.4916441974609651}",20,0,-159.6118726145067,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
72,False,"{'a': 0.9985610219230431, 'e': 0.4867522559599717}",25,8,-101.08520262046166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 3}",1
73,False,"{'a': 0.9985410507026047, 'e': 0.48190899009020244}",20,0,-62.397584748826546,"{0: 13, 1: 4, 2: 0, 3: 3, 4: 0}",0
74,False,"{'a': 0.9985210798815906, 'e': 0.4771139155210344}",30,13,3.355340262009997,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.9985011094599929, 'e': 0.4723665527410147}",30,0,-27.028191998342706,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.9984811394378037, 'e': 0.46766642700990924}",25,0,-21.557209444511408,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
77,False,"{'a': 0.9984611698150149, 'e': 0.46301306831122807}",25,1,-49.3340332048979,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 0}",1
78,False,"{'a': 0.9984412005916186, 'e': 0.4584060113052235}",25,10,-13.571009167201629,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.9984212317676068, 'e': 0.45384479528235583}",25,16,-11.378613585457192,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.9984012633429714, 'e': 0.44932896411722156}",20,0,-59.31679125417839,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
81,False,"{'a': 0.9983812953177045, 'e': 0.4448580662229411}",20,14,-10.45438496282654,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.9983613276917981, 'e': 0.44043165450599925}",20,1,-0.2261342867366396,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.9983413604652442, 'e': 0.43604928632153556}",20,0,-103.38608129509623,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
84,False,"{'a': 0.998321393638035, 'e': 0.43171052342907973}",20,0,-36.73126695144326,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.9983014272101621, 'e': 0.4274149319487267}",25,0,-142.93531582514018,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 4}",0
86,False,"{'a': 0.998281461181618, 'e': 0.4231620823177488}",20,0,-44.00518414126819,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.9982614955523943, 'e': 0.418951549247639}",20,16,8.090765831486049,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9982415303224832, 'e': 0.4147829116815814}",20,6,17.009373806194276,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9982215654918768, 'e': 0.4106557527523455}",20,16,5.063469416428211,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9982016010605669, 'e': 0.4065696597405991}",25,2,-73.74928315613228,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",1
91,False,"{'a': 0.9981816370285457, 'e': 0.40252422403363597}",30,0,-19.711014581111744,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.9981616733958051, 'e': 0.39851904108451414}",30,0,6.179350072966207,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.9981417101623371, 'e': 0.3945537103716011}",20,6,-34.64378149559472,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
94,False,"{'a': 0.9981217473281339, 'e': 0.3906278353585211}",25,0,-2.5498864077746077,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
95,False,"{'a': 0.9981017848931872, 'e': 0.3867410234545012}",20,1,-3.181120956268689,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.9980818228574894, 'e': 0.38289288597511206}",35,12,-20.924407498762886,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.9980618612210322, 'e': 0.37908303810339883}",25,14,-40.62105788456631,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.9980418999838078, 'e': 0.37531109885139957}",20,0,-39.9189344537287,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
99,False,"{'a': 0.9980219391458081, 'e': 0.3715766910220457}",30,14,13.274443881809837,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9980019787070251, 'e': 0.36787944117144233}",20,10,8.681754085996667,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.997982018667451, 'e': 0.3642189795715233}",20,8,-11.912385483218728,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.9979620590270776, 'e': 0.3605949401730783}",25,7,-32.81317605241302,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.9979420997858971, 'e': 0.3570069605691474}",30,0,-12.36964913312918,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.9979221409439013, 'e': 0.35345468195878016}",25,10,-0.6156854743380018,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.9979021825010824, 'e': 0.3499377491111553}",20,16,7.615482703465846,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.9978822244574324, 'e': 0.3464558103300574}",25,0,11.535949728729667,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
107,False,"{'a': 0.9978622668129432, 'e': 0.34300851741870664}",25,0,10.975577191887785,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.9978423095676069, 'e': 0.3395955256449391}",25,0,-23.997703461432152,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
109,False,"{'a': 0.9978223527214156, 'e': 0.33621649370673334}",20,16,8.274490704365684,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.9978023962743611, 'e': 0.33287108369807955}",25,11,-35.59800600050617,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.9977824402264356, 'e': 0.32955896107518906}",30,13,-73.89186442274095,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
112,False,"{'a': 0.9977624845776311, 'e': 0.32627979462303947}",30,11,-43.09148483585206,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.9977425293279395, 'e': 0.3230332564222529}",25,14,19.11914570672822,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9977225744773529, 'e': 0.31981902181630384}",20,8,-27.736823077336354,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
